pwmcount, residuebefore, residueafter,diff
5,2159,2099,-60
5,2146,1537,-609
5,1573,2130,557
5,2178,2064,-114
5,2112,1781,-331
5,1814,2384,570
5,2429,2087,-342
5,2132,1723,-409
5,1757,1929,172
5,1973,1509,-464
5,1545,1926,381
5,1946,1958,12
5,2004,2070,66
5,2118,1819,-299
5,1851,1996,145
5,2041,2048,7
5,2096,2065,-31
5,2114,1665,-449
5,1700,1996,296
5,2043,2140,97
5,2188,2071,-117
5,2117,1712,-405
5,1748,1987,239
5,2035,1535,-500
5,1571,1570,-1
5,1606,2333,727
5,2379,1526,-853
5,1564,1574,10
5,1609,2143,534
5,2189,2193,4
5,2241,2150,-91
5,2198,2138,-60
5,2185,2017,-168
5,2063,2170,107
5,2214,1851,-363
5,1887,1987,100
5,2033,1861,-172
5,1895,2077,182
5,2123,2328,205
5,2377,2054,-323
5,2099,1658,-441
5,1694,1490,-204
5,1525,2086,561
5,2134,1675,-459
5,1709,1804,95
5,1838,1589,-249
5,1624,1647,23
5,1682,1892,210
5,1912,1845,-67
5,1879,1891,12
5,1912,1455,-457
5,1493,1671,178
5,1707,2048,341
5,2092,2300,208
5,2348,1460,-888
5,1498,1965,467
5,2010,2228,218
5,2275,1609,-666
5,1643,2208,565
5,2256,2196,-60
5,2242,1635,-607
5,1670,1778,108
5,1811,2174,363
5,2221,1919,-302
5,1940,1732,-208
5,1768,1777,9
5,1813,1677,-136
5,1712,1979,267
5,2024,2254,230
5,2304,1533,-771
5,1566,1756,190
5,1791,2147,356
5,2194,2071,-123
5,2116,1957,-159
5,2002,1755,-247
5,1789,1940,151
5,1983,1855,-128
5,1890,1697,-193
5,1732,2160,428
5,2208,1761,-447
5,1795,1909,114
5,1929,2201,272
5,2248,2387,139
5,2435,1454,-981
5,1489,1893,404
5,1915,1516,-399
5,1550,1795,245
5,1828,2236,408
5,2283,1868,-415
5,1903,2301,398
5,2348,1715,-633
5,1750,2057,307
5,2104,2173,69
5,2219,2210,-9
5,2257,2273,16
5,2320,1646,-674
5,1681,1948,267
5,1995,1987,-8
5,2034,1990,-44
5,2038,1467,-571
5,1503,2104,601
5,2152,1475,-677
5,1511,2298,787
5,2343,2332,-11
5,2377,2342,-35
5,2388,2114,-274
5,2160,1658,-502
5,1694,1849,155
5,1882,2094,212
5,2140,1969,-171
5,2015,2120,105
5,2168,2107,-61
5,2153,1817,-336
5,1851,1763,-88
5,1797,1912,115
5,1933,2096,163
5,2140,1976,-164
5,2021,2123,102
5,2169,1850,-319
5,1883,1985,102
5,2032,2194,162
5,2242,1968,-274
5,2011,1495,-516
5,1530,2152,622
5,2199,1631,-568
5,1667,1769,102
5,1804,1699,-105
5,1733,1694,-39
5,1727,2006,279
5,2054,1807,-247
5,1841,1468,-373
5,1504,2276,772
5,2322,2209,-113
5,2256,1995,-261
5,2040,1738,-302
5,1771,2076,305
5,2123,1547,-576
5,1582,1802,220
5,1835,1609,-226
5,1645,2211,566
5,2258,2130,-128
5,2178,1729,-449
5,1763,1839,76
5,1873,2225,352
5,2272,1684,-588
5,1719,2189,470
5,2234,1511,-723
5,1547,1501,-46
5,1537,1914,377
5,1935,1684,-251
5,1720,1586,-134
5,1621,2134,513
5,2180,2073,-107
5,2118,1806,-312
5,1839,2376,537
5,2425,1813,-612
5,1847,1915,68
5,1936,2043,107
5,2089,2353,264
5,2402,1836,-566
5,1871,1851,-20
5,1885,2144,259
5,2190,1935,-255
5,1980,1669,-311
5,1703,1662,-41
5,1697,2055,358
5,2102,1794,-308
5,1831,1527,-304
5,1563,2024,461
5,2068,2061,-7
5,2108,2079,-29
5,2123,2166,43
5,2212,1673,-539
5,1707,1869,162
5,1902,1820,-82
5,1854,1809,-45
5,1842,2174,332
